c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Price X Owners,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,2196,Yellow: The Yellow Artifact,6/7/2016,$0.99,N/A (N/A),"$138,281.22","139,678","±10,678","97,817","±8,936",3:38:00,3:27:00
1,2667,Under Zero,3/25/2016,$4.99,N/A (N/A),"$691,663.90","138,610","±10,637","69,198","±7,516",2:57:00,3:22:00
1,3635,"Kivi, Toilet and Shotgun",1/15/2016,$0.99,12% (54%),"$133,630.20","134,980","±10,497","65,568","±7,316",2:46:00,3:06:00
1,3036,Bell Ringer,3/18/2016,$6.99,N/A (N/A),"$925,594.83","132,417","±10,396","78,809","±8,021",3:52:00,3:58:00
1,2965,Holodrive,3/24/2016,$9.99,N/A (N/A),"$1,316,442.24","131,776","±10,371","75,178","±7,834",3:48:00,3:14:00
1,3622,Lup,4/1/2016,$0.99,12% (53%),"$130,246.38","131,562","±10,363","61,510","±7,086",3:17:00,3:30:00
1,2198,Vengeance Road,6/17/2016,$1.99,39% (75%),"$255,434.41","128,359","±10,236","64,713","±7,268",2:47:00,3:03:00
1,1199,Half dead,8/1/2016,$1.99,61% (85%),"$255,008.55","128,145","±10,227","114,476","±9,667",1:20:00,0:50:00
1,1540,Montaro,7/25/2016,$0.99,93% (95%),"$119,675.16","120,884","±9,934","100,167","±9,043",2:19:00,0:57:00
1,379,Mother Russia Bleeds,9/5/2016,$14.99,70% (88%/70%),"$1,802,442.57","120,243","±9,907","57,025","±6,823",4:05:00,1:57:00
1,2651,SAMOLIOTIK,3/25/2016,$0.99,77% (90%),"$119,040.57","120,243","±9,907","85,003","±8,330",3:59:00,4:25:00
1,3196,There's Poop In My Soup,3/14/2016,$0.99,67% (87%),"$118,195.11","119,389","±9,872","93,546","±8,739",1:34:00,0:33:00
1,2759,Klabi,4/22/2016,$2.99,9% (49%),"$355,693.39","118,961","±9,854","83,294","±8,246",4:08:00,3:55:00
1,14,ICEY,11/17/2016,$10.99,90% (94%/88%),"$1,295,655.06","117,894","±9,810","108,496","±9,411",3:53:00,3:00:00
1,1750,Invasion: Brain Craving,6/22/2016,$0.99,7% (45%),"$116,291.34","117,466","±9,792","73,470","±7,745",3:40:00,3:33:00
1,1678,Spaceport Hope,4/15/2016,$1.99,52% (81%),"$229,508.69","115,331","±9,703","69,412","±7,528",3:22:00,3:11:00
1,92,Momodora: Reverie Under the Moonlight,3/4/2016,$6.99,98% (97%/82%),"$797,202.51","114,049","±9,649","87,139","±8,434",5:00:00,3:37:00
1,499,Between Me and The Night,1/22/2016,$14.99,49% (80%/62%),"$1,687,184.46","112,554","±9,585","61,083","±7,062",4:07:00,4:21:00
1,3493,Hard Room,1/21/2016,$1.99,N/A (N/A),"$222,706.87","111,913","±9,558","47,200","±6,208",2:30:00,2:47:00
1,1777,State of Anarchy,4/27/2016,$1.99,67% (87%),"$220,583.54","110,846","±9,512","64,286","±7,244",3:21:00,3:29:00
1,2130,Super Mega Neo Pug,5/11/2016,$0.99,67% (87%),"$109,737.54","110,846","±9,512","63,645","±7,208",2:33:00,3:05:00
1,122,Overcooked,8/3/2016,$16.99,87% (93%/81%),"$1,843,347.04","108,496","±9,411","100,380","±9,052",5:31:00,3:16:00
1,1515,Project Starship,4/5/2016,$0.99,61% (85%),"$104,873.67","105,933","±9,299","61,510","±7,086",3:51:00,3:30:00
1,407,WASTED,6/7/2016,$12.99,56% (83%/68%),"$1,356,649.62","104,438","±9,233","43,356","±5,949",5:09:00,2:00:00
1,3573,Squirbs,1/6/2016,$4.99,25% (66%),"$520,082.75","104,225","±9,224","69,198","±7,516",2:58:00,3:08:00
1,2228,TheOrbChambers,6/3/2016,$4.99,N/A (N/A),"$514,753.43","103,157","±9,177","72,402","±7,688",4:05:00,3:31:00
1,1039,EvilMaze,6/17/2016,$1.59,43% (77%),"$160,623.39","101,021","±9,081","75,819","±7,867",4:40:00,4:48:00
1,3211,We Happy Few,7/26/2016,$29.99,56% (83%),"$3,010,396.20","100,380","±9,052","93,760","±8,749",5:49:00,3:28:00
1,2773,Genital Jousting,11/17/2016,$4.99,80% (91%),"$497,702.60","99,740","±9,023","82,867","±8,225",0:53:00,0:41:00
1,2895,Red Risk,3/4/2016,$0.49,8% (47%),"$48,453.65","98,885","±8,985","63,432","±7,196",3:34:00,3:44:00
1,1554,Aircraft War X,8/5/2016,$2.99,17% (59%),"$292,472.83","97,817","±8,936","76,246","±7,890",3:24:00,3:10:00
1,1331,Melody's Escape,5/20/2016,$3.39,90% (94%),"$330,152.10","97,390","±8,916","90,129","±8,578",4:12:00,2:02:00
1,2169,Timore Inferno,6/2/2016,$4.99,N/A (N/A),"$480,646.78","96,322","±8,867","70,053","±7,562",3:23:00,3:24:00
1,1201,Necropolis,7/1/2016,$29.99,30% (70%),"$2,824,668.13","94,187","±8,769","87,779","±8,465",7:49:00,5:26:00
1,266,Epistory - Typing Chronicle,3/30/2016,$14.99,98% (97%/75%),"$1,408,655.27","93,973","±8,759","43,783","±5,979",3:20:00,1:45:00
1,2835,Neon Hardcorps,5/30/2016,$0.99,N/A (N/A),"$92,610.54","93,546","±8,739","48,482","±6,291",3:23:00,3:32:00
1,1756,24 HOURS,9/13/2016,$2.99,11% (52%),"$274,592.63","91,837","±8,659","67,276","±7,411",3:13:00,3:07:00
1,3634,AI: Rampage,1/27/2016,$1.99,1% (21%),"$182,755.63","91,837","±8,659","5,339","±2,088",3:21:00,0:04:00
1,3409,What's under your blanket !?,1/5/2016,$0.99,61% (85%),"$89,861.31","90,769","±8,608","71,334","±7,631",1:14:00,0:24:00
1,1181,Naval Action,1/21/2016,$39.99,37% (74%),"$3,570,067.26","89,274","±8,537","88,847","±8,516",104:58:00,18:12:00
1,1552,Purgatory,6/22/2016,$0.99,32% (71%),"$87,747.66","88,634","±8,506","40,793","±5,771",2:56:00,2:58:00
1,2077,Insincere,5/12/2016,$3.99,7% (46%),"$350,238.21","87,779","±8,465","49,549","±6,360",3:42:00,3:34:00
1,3057,Day of Infamy,7/28/2016,$19.99,61% (85%),"$1,746,166.48","87,352","±8,444","83,081","±8,235",9:32:00,3:49:00
1,3561,Locked-in syndrome,1/7/2016,$2.99,N/A (N/A),"$258,629.02","86,498","±8,403","35,881","±5,412",2:48:00,3:11:00
1,58,Shadow Tactics: Blades of the Shogun,12/6/2016,$39.99,98% (97%/84%),"$3,416,345.70","85,430","±8,351","76,887","±7,923",14:19:00,7:23:00
1,279,Road to Ballhalla,8/5/2016,$14.99,N/A (N/A/75%),"$1,261,393.51","84,149","±8,288","14,310","±3,418",1:08:00,0:16:00
1,2207,Head Shot,6/3/2016,$0.79,5% (39%),"$66,477.71","84,149","±8,288","53,607","±6,615",3:07:00,3:12:00
1,978,Stikbold!,4/1/2016,$9.99,70% (88%),"$832,107.06","83,294","±8,246","27,551","±4,743",2:44:00,1:47:00
1,3216,Switchcars,3/4/2016,$8.99,90% (94%),"$744,974.33","82,867","±8,225","22,212","±4,258",0:54:00,0:24:00
1,228,DEADBOLT,3/14/2016,$9.99,93% (95%/76%),"$821,437.74","82,226","±8,193","45,492","±6,094",5:17:00,2:54:00
1,1837,Ratz Instagib 2.0,7/27/2016,$8.99,67% (87%),"$729,619.41","81,159","±8,140","59,587","±6,975",3:50:00,2:08:00
