c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,159,Survivors,5/5/2016,$3.99,25% (66%),"$63,876","16,009","±3,742","10,749","±3,066",4:53:00,3:44:00
1,391,Niffelheim,4/28/2016,$19.99,45% (78%),"$320,020","16,009","±3,742","14,408","±3,550",12:00:00,6:22:00
1,240,Vortex: The Gateway,3/22/2016,$9.99,25% (66%),"$157,652","15,781","±3,715","8,691","±2,757",4:01:00,2:26:00
1,269,Story Of the Survivor,2/16/2016,$2.99,N/A (N/A),"$47,185","15,781","±3,715","1,372","±1,095",0:37:00,0:47:00
,,,,,,,,,,,,
1,252,Judgment: Apocalypse Survival Simulaiton,4/11/2016,$14.99,61% (85%),"$219,409","14,637","±3,578","13,036","±3,376",7:33:00,3:50:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,256,CASE: Animatronics,8/3/2016,$9.99,67% (87%),"$127,942","12,807","±3,347","9,606","±2,898",4:32:00,1:29:00
1,264,GEARGUNS - Tank offensive,9/20/2016,$7.99,61% (85%),"$102,328","12,807","±3,347","7,776","±2,608",4:39:00,4:20:00
,,,,,,,,,,,,
1,385,Nightfall: Escape,6/28/2016,$14.99,N/A (N/A),"$188,559","12,579","±3,317","3,202","±1,673",2:02:00,2:57:00
,,,,,,,,,,,,
1,75,March of the Living,4/20/2016,$14.99,47% (79%/63%),"$174,843","11,664","±3,194","10,978","±3,098",5:16:00,2:59:00
,,,,,,,,,,,,
1,319,White Noise 2,10/27/2016,$7.99,67% (87%),"$93,195","11,664","±3,194","11,207","±3,130",3:32:00,3:01:00
1,51,Overfall,5/17/2016,$14.99,64% (86%/71%),"$171,411","11,435","±3,162","9,606","±2,898",13:35:00,9:28:00
,,,,,,,,,,,,
1,317,Life in Bunker,2/25/2016,$15.99,17% (59%),"$182,846","11,435","±3,162","10,292","±3,000",5:15:00,3:43:00
1,347,Rebirth of Island,11/4/2016,$4.19,N/A (N/A),"$46,957","11,207","±3,130","3,888","±1,844",4:43:00,3:54:00
1,398,The Last Hope,8/29/2016,$1.99,N/A (N/A),"$22,302","11,207","±3,130","5,031","±2,097",3:12:00,3:01:00
,,,,,,,,,,,,
1,353,The Underground Man,9/1/2016,$4.99,73% (89%),"$53,638","10,749","±3,066","8,691","±2,757",2:35:00,2:05:00
,,,,,,,,,,,,
1,216,BATTLE PIXELS,1/14/2016,$1.99,N/A (N/A),"$20,935","10,520","±3,033","7,090","±2,490",3:37:00,3:37:00
1,370,Control Craft 2,2/15/2016,$2.99,N/A (N/A),"$31,455","10,520","±3,033","7,776","±2,608",4:40:00,4:01:00
1,90,Goliath,5/12/2016,$11.99,25% (66%/57%),"$123,401","10,292","±3,000","8,005","±2,646",5:20:00,2:56:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,206,Etaria | Survival Adventure,2/4/2016,$1.99,17% (59%),"$20,025","10,063","±2,966","6,861","±2,449",5:08:00,2:51:00
1,417,UnReal World,2/26/2016,$10.99,95% (96%),"$110,592","10,063","±2,966","8,919","±2,793",22:16:00,1:24:00
,,,,,,,,,,,,
1,308,Paws,3/24/2016,$14.99,70% (88%),"$143,994","9,606","±2,898","6,861","±2,449",22:36:00,2:21:00
1,384,Sky Break,10/21/2016,$14.99,29% (69%),"$143,994","9,606","±2,898","8,919","±2,793",2:57:00,2:13:00
,,,,,,,,,,,,
1,208,Space Rogue,9/15/2016,$19.99,28% (68%),"$187,446","9,377","±2,863","8,691","±2,757",13:46:00,6:27:00
1,383,Wayward,4/22/2016,$7.99,67% (87%),"$74,922","9,377","±2,863","8,233","±2,683",11:39:00,4:55:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,457,Rescue Lucy,6/3/2016,$2.99,6% (42%),"$27,353","9,148","±2,828","4,574","±2,000",2:12:00,3:11:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,373,StarsOne,4/8/2016,$9.99,47% (79%),"$79,970","8,005","±2,646","7,547","±2,569",9:55:00,9:29:00
,,,,,,,,,,,,
1,95,The Great Escape,1/11/2016,$3.99,N/A (N/A/54%),"$31,026","7,776","±2,608","4,345","±1,949",3:10:00,3:28:00
1,408,War Birds: WW2 Air strike 1942,3/18/2016,$3.99,N/A (N/A),"$31,026","7,776","±2,608","5,946","±2,280",2:10:00,2:41:00
1,164,Unclaimed World,10/4/2016,$18.99,26% (67%),"$143,318","7,547","±2,569","7,090","±2,490",4:55:00,3:32:00
1,407,Disgraced,11/18/2016,$9.99,N/A (N/A),"$75,395","7,547","±2,569","4,345","±1,949",3:39:00,3:31:00
1,54,Near Death,8/2/2016,$14.99,83% (92%/70%),"$109,712","7,319","±2,530","6,404","±2,366",2:31:00,2:41:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,207,Microcosmum: survival of cells - Colors for organisms,1/22/2016,$0.99,N/A (N/A),"$6,792","6,861","±2,449",0,±0,0:00:00,0:00:00
1,288,NightCry,3/28/2016,$14.99,18% (60%),"$102,846","6,861","±2,449","5,260","±2,145",7:37:00,5:38:00
1,432,Pixel Survival - Craft Game,1/14/2016,$0.99,4% (38%),"$6,792","6,861","±2,449","4,574","±2,000",0:43:00,0:25:00
,,,,,,,,,,,,
1,238,Zombies on a Plane,3/25/2016,$19.99,N/A (N/A),"$132,574","6,632","±2,408","5,718","±2,236",3:19:00,3:19:00
,,,,,,,,,,,,
1,357,Habitus,1/29/2016,$5.99,N/A (N/A),"$39,726","6,632","±2,408",229,±447,0:06:00,0:02:00
1,400,Ace of Seafood,4/8/2016,$7.19,90% (94%),"$46,045","6,404","±2,366","5,260","±2,145",3:29:00,3:33:00
,,,,,,,,,,,,
1,371,Hunted - One Step too Far,9/2/2016,$4.99,N/A (N/A),"$30,813","6,175","±2,324","1,372","±1,095",0:30:00,0:42:00
,,,,,,,,,,,,
1,258,Mustache in Hell,7/28/2016,$4.99,N/A (N/A),"$29,671","5,946","±2,280","2,744","±1,549",4:07:00,4:09:00
,,,,,,,,,,,,
1,341,Frontier,3/4/2016,$12.99,N/A (N/A),"$77,239","5,946","±2,280","1,144","±1,000",0:10:00,0:05:00
1,381,Jurassic Survival,8/1/2016,$8.99,N/A (N/A),"$53,455","5,946","±2,280","1,144","±1,000",0:25:00,0:20:00
1,437,Pixel Gladiator,11/22/2016,$2.99,N/A (N/A),"$17,779","5,946","±2,280","2,744","±1,549",3:04:00,3:59:00
1,449,Wolf Simulator,11/16/2016,$4.99,3% (35%),"$29,671","5,946","±2,280","1,830","±1,265",0:08:00,0:09:00
,,,,,,,,,,,,
1,196,Zeus vs Monsters - Math Game for kids,2/18/2016,$5.99,N/A (N/A),"$32,879","5,489","±2,191",915,±894,31:18:00,41:25:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,416,Junk Jack,11/30/2016,$14.99,67% (87%),"$75,415","5,031","±2,097","4,574","±2,000",6:09:00,3:48:00
,,,,,,,,,,,,
