c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,254,Unclaimed World,10/4/2016,$18.99,26% (67%),"$143,317.53","7,547","±2,569","7,090","±2,490",4:55:00,3:32:00
1,258,Pierhead Arcade,9/21/2016,$9.99,90% (94%),"$68,541.39","6,861","±2,449","6,404","±2,366",1:31:00,1:12:00
1,328,Microcosmum: survival of cells - Colors for organisms,1/22/2016,$0.99,N/A (N/A),"$6,792.39","6,861","±2,449",0,±0,0:00:00,0:00:00
1,292,Mini Thief,6/13/2016,$1.99,61% (85%),"$12,288.25","6,175","±2,324","3,659","±1,789",3:05:00,1:45:00
1,300,Sorcerer King - Rivals,9/22/2016,$29.99,28% (68%),"$178,320.54","5,946","±2,280","4,117","±1,897",13:02:00,13:09:00
1,169,Doodle Kingdom,6/9/2016,$1.99,N/A (N/A),"$11,378.82","5,718","±2,236","2,973","±1,612",6:01:00,4:21:00
1,179,Islet Online,2/1/2016,$24.99,52% (81%),"$137,170.11","5,489","±2,191","5,489","±2,191",30:33:00,17:32:00
1,194,Junk Jack,11/30/2016,$14.99,67% (87%),"$75,414.69","5,031","±2,097","4,574","±2,000",6:09:00,3:48:00
1,151,Shadows of Kurgansk,12/15/2016,$14.99,39% (75%),"$71,996.97","4,803","±2,049","3,659","±1,789",2:07:00,2:09:00
1,185,SparkDimension,10/4/2016,$9.99,N/A (N/A),"$47,981.97","4,803","±2,049",457,±632,3:02:00,2:01:00
1,275,Aurora Dusk: Steam Age,4/28/2016,$9.99,61% (85%),"$47,981.97","4,803","±2,049","4,574","±2,000",6:17:00,4:06:00
1,317,Wild Terra Online,12/16/2016,$14.99,23% (65%),"$71,996.97","4,803","±2,049","4,574","±2,000",16:51:00,16:21:00
1,356,Clumsy Moose Season,3/2/2016,$3.99,N/A (N/A),"$18,250.26","4,574","±2,000",457,±632,0:16:00,0:10:00
1,223,Rencounter,11/4/2016,$2.99,30% (70%),"$12,309.83","4,117","±1,897","2,973","±1,612",7:33:00,7:28:00
1,267,Stellar Tactics,9/22/2016,$19.99,52% (81%),"$82,298.83","4,117","±1,897","3,659","±1,789",14:38:00,9:24:00
1,141,Dream Car Racing 3D,9/22/2016,$14.99,100% (100%),"$58,281.12","3,888","±1,844","3,659","±1,789",10:48:00,7:28:00
1,180,Void Destroyer 2,9/22/2016,$14.99,87% (93%),"$54,848.41","3,659","±1,789","2,744","±1,549",3:53:00,6:14:00
1,77,Ant Queen,6/17/2016,$8.99,12% (53%),"$30,844.69","3,431","±1,732","3,202","±1,673",5:03:00,4:00:00
1,96,Vilmonic,6/15/2016,$9.99,N/A (N/A),"$34,275.69","3,431","±1,732",915,±894,0:48:00,1:01:00
1,230,Polynomial 2,5/31/2016,$11.99,N/A (N/A),"$41,137.69","3,431","±1,732","3,431","±1,732",1:28:00,0:38:00
1,122,SWORDY,7/21/2016,$14.99,N/A (N/A),"$47,997.98","3,202","±1,673","2,516","±1,483",0:47:00,0:58:00
1,189,Cubic,4/5/2016,$19.99,17% (59%),"$60,469.75","3,025","±1,973","2,353","±1,740",0:38:00,0:44:00
1,353,Anyland,10/6/2016,$11.99,98% (97%),"$35,646.27","2,973","±1,612","2,058","±1,341",39:07:00,3:36:00
1,131,Alchemist's Awakening,3/21/2016,$15.99,28% (68%),"$43,876.56","2,744","±1,549","2,516","±1,483",3:05:00,3:07:00
1,204,XNemesis SandBox,6/7/2016,$2.99,N/A (N/A),"$8,204.56","2,744","±1,549","1,601","±1,183",3:58:00,4:19:00
1,94,The Space Garden,10/3/2016,$4.99,N/A (N/A),"$12,554.84","2,516","±1,483","1,830","±1,265",2:08:00,2:55:00
1,132,The Sandbox Evolution,11/15/2016,$9.99,49% (80%),"$25,134.84","2,516","±1,483","1,601","±1,183",1:17:00,2:11:00
